heuristica,n,m,replicacao,tempo_ns,iteracoes,makespan,parametro
LocalSearchBest, 811, 20, 811, 688669966, 647, 83972, N/A
LocalSearchBest, 821, 20, 821, 698247482, 641, 86087, N/A
LocalSearchBest, 831, 20, 831, 718490195, 644, 88136, N/A
LocalSearchBest, 841, 20, 841, 751336992, 659, 90299, N/A
LocalSearchBest, 851, 20, 851, 772379966, 661, 92409, N/A
LocalSearchBest, 861, 20, 861, 802852018, 670, 94648, N/A
LocalSearchBest, 871, 20, 871, 847387522, 677, 96833, N/A
LocalSearchBest, 881, 20, 881, 878958246, 701, 99156, N/A
LocalSearchBest, 891, 20, 891, 897006461, 700, 101491, N/A
LocalSearchBest, 901, 20, 901, 909608482, 698, 103748, N/A
LocalSearchBest, 911, 20, 911, 951231240, 716, 106054, N/A
LocalSearchBest, 921, 20, 921, 979390244, 720, 108376, N/A
LocalSearchBest, 931, 20, 931, 1010211692, 728, 110750, N/A
LocalSearchBest, 941, 20, 941, 1036955048, 731, 113123, N/A
LocalSearchBest, 951, 20, 951, 1072432741, 741, 115541, N/A
LocalSearchBest, 961, 20, 961, 1111898383, 754, 117988, N/A
LocalSearchBest, 971, 20, 971, 1266844044, 768, 120458, N/A
LocalSearchBest, 981, 20, 981, 1195927663, 777, 123022, N/A
LocalSearchBest, 991, 20, 991, 1217976253, 777, 125547, N/A
SimulatedAnnealing, 1, 20, 1, 20288, 2, 95, 0
SimulatedAnnealing, 11, 20, 11, 45966, 13, 373, 0
SimulatedAnnealing, 21, 20, 21, 193733, 34, 400, 0
SimulatedAnnealing, 31, 20, 31, 487534, 65, 245, 0
SimulatedAnnealing, 41, 20, 41, 754345, 106, 304, 0
SimulatedAnnealing, 51, 20, 51, 1193038, 157, 420, 0
SimulatedAnnealing, 61, 20, 61, 1830834, 218, 582, 0
SimulatedAnnealing, 71, 20, 71, 2675889, 289, 755, 0
SimulatedAnnealing, 81, 20, 81, 3611996, 370, 957, 0
SimulatedAnnealing, 91, 20, 91, 5256160, 461, 1168, 0
SimulatedAnnealing, 101, 20, 101, 6778355, 539, 1415, 0
SimulatedAnnealing, 111, 20, 111, 7894279, 539, 1680, 0
SimulatedAnnealing, 121, 20, 121, 12416311, 539, 2020, 0
SimulatedAnnealing, 131, 20, 131, 11020303, 539, 2358, 0
SimulatedAnnealing, 141, 20, 141, 11815995, 539, 2766, 0
SimulatedAnnealing, 151, 20, 151, 13547253, 539, 3164, 0
SimulatedAnnealing, 161, 20, 161, 15223107, 539, 3602, 0
SimulatedAnnealing, 171, 20, 171, 17451257, 539, 4045, 0
SimulatedAnnealing, 181, 20, 181, 18950860, 539, 4465, 0
SimulatedAnnealing, 191, 20, 191, 21636568, 539, 4977, 0
SimulatedAnnealing, 201, 20, 201, 23475678, 539, 5437, 0
SimulatedAnnealing, 211, 20, 211, 25942475, 539, 5972, 0
SimulatedAnnealing, 221, 20, 221, 29190148, 539, 6509, 0
SimulatedAnnealing, 231, 20, 231, 31348285, 539, 7071, 0
SimulatedAnnealing, 241, 20, 241, 34842931, 539, 7673, 0
SimulatedAnnealing, 251, 20, 251, 37775423, 539, 8289, 0
SimulatedAnnealing, 261, 20, 261, 40811367, 539, 8933, 0
SimulatedAnnealing, 271, 20, 271, 44323055, 539, 9617, 0
SimulatedAnnealing, 281, 20, 281, 48047642, 539, 10324, 0
SimulatedAnnealing, 291, 20, 291, 52646649, 539, 11107, 0
SimulatedAnnealing, 301, 20, 301, 56152665, 539, 11880, 0
SimulatedAnnealing, 311, 20, 311, 60814000, 539, 12657, 0
SimulatedAnnealing, 321, 20, 321, 65544383, 539, 13515, 0
SimulatedAnnealing, 331, 20, 331, 69755864, 539, 14346, 0
SimulatedAnnealing, 341, 20, 341, 74805105, 539, 15221, 0
SimulatedAnnealing, 351, 20, 351, 79531552, 539, 16082, 0
SimulatedAnnealing, 361, 20, 361, 86317121, 539, 17039, 0
SimulatedAnnealing, 371, 20, 371, 91585875, 539, 17962, 0
SimulatedAnnealing, 381, 20, 381, 96488111, 539, 18935, 0
