heuristic,machines,tasks,makespan,time_nano,iterations,param
LocalSearchBest,10,100,2316,6723,31,
LocalSearchBest,10,100,2201,10219,31,
LocalSearchBest,10,100,2191,7905,35,
LocalSearchBest,10,100,2264,7124,31,
LocalSearchBest,10,100,2381,7885,36,
LocalSearchBest,10,100,2414,6964,32,
LocalSearchBest,10,100,2494,7975,36,
LocalSearchBest,10,100,2329,6722,31,
LocalSearchBest,10,100,2487,7043,35,
LocalSearchBest,10,100,2399,6732,31,
LocalSearchBest,10,100,2231,7654,38,
LocalSearchBest,10,100,2340,8727,41,
LocalSearchBest,10,100,2202,7665,35,
LocalSearchBest,10,100,2394,7835,37,
LocalSearchBest,10,100,2269,112200,35,
LocalSearchBest,10,100,2295,7264,34,
LocalSearchBest,10,100,2458,11632,32,
LocalSearchBest,10,100,2309,8777,40,
LocalSearchBest,10,100,2228,12864,34,
LocalSearchBest,10,100,2210,7244,34,
LocalSearchBest,10,100,2502,10259,33,
LocalSearchBest,10,100,2435,8145,37,
LocalSearchBest,10,100,2245,6963,31,
LocalSearchBest,10,100,2255,7464,34,
LocalSearchBest,10,100,2367,6562,31,
LocalSearchBest,10,100,2323,7594,36,
LocalSearchBest,10,100,2410,7444,33,
LocalSearchBest,10,100,2215,6763,30,
LocalSearchBest,10,100,2805,7785,36,
LocalSearchBest,10,100,2349,7644,37,
LocalSearchBest,10,100,2311,6933,31,
LocalSearchBest,10,100,2478,7444,38,
LocalSearchBest,10,100,2444,6963,33,
LocalSearchBest,10,100,2283,10519,37,
LocalSearchBest,10,100,2069,7224,34,
LocalSearchBest,10,100,2510,10830,36,
LocalSearchBest,10,100,2308,6683,31,
LocalSearchBest,10,100,2394,6833,31,
LocalSearchBest,10,100,2402,6782,32,
LocalSearchBest,10,100,2342,7374,36,
LocalSearchBest,10,100,2278,7254,35,
LocalSearchBest,10,100,2594,7915,37,
LocalSearchBest,10,100,2339,7013,35,
LocalSearchBest,10,100,2403,6152,35,
LocalSearchBest,10,100,2463,5631,35,
LocalSearchBest,10,100,2377,6022,34,
LocalSearchBest,10,100,2465,4759,33,
LocalSearchBest,10,100,2257,4909,33,
LocalSearchBest,10,100,2559,6843,33,
